frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
312,3,target,872.4,356.6,down,down_L4,31.31,85.59,,,117.4177481,40.39884439,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,85.59,117.4154552,40.39874632,,573.037
313,3,target,874.5,358.4,down,down_L4,31.32,84.52,,,117.4177354,40.39884475,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.32,84.52,117.4154679,40.39874594,,573.013
314,3,target,877,360.7,down,down_L4,31.31,83.12,,,117.4177189,40.39884522,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,83.12,117.4154844,40.3987456,,573
315,3,target,879.1,362.9,down,down_L4,31.29,81.9,,,117.4177046,40.39884562,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.29,81.9,117.4154987,40.39874539,,572.986
316,3,target,881.7,365,down,down_L4,31.3,80.69,,,117.4176903,40.39884603,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.3,80.69,117.415513,40.39874492,,572.973
317,3,target,884.3,367.2,down,down_L4,31.31,79.47,,,117.4176759,40.39884643,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,107.1,31.31,79.47,117.4155273,40.39874449,,572.957
318,3,target,886.7,369,down,down_L4,31.33,78.45,,,117.4176639,40.39884677,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.33,78.45,117.4155393,40.398744,,572.944
319,3,target,889,371.4,down,down_L4,31.31,77.23,,,117.4176495,40.39884717,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.31,77.23,117.4155537,40.3987438,,572.93
320,3,target,891.5,373.5,down,down_L4,31.31,76.1,,,117.4176361,40.39884755,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.31,76.1,117.415567,40.3987434,,572.919
321,3,target,894.1,376.1,down,down_L4,31.3,74.83,,,117.4176212,40.39884797,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.3,74.83,117.415582,40.39874313,,572.914
322,3,target,896.7,378.5,down,down_L4,31.29,73.63,,,117.4176071,40.39884837,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.29,73.63,117.4155961,40.39874282,,572.895
323,3,target,899.9,380.6,down,down_L4,31.33,72.54,,,117.4175942,40.39884874,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,105.8,31.33,72.54,117.4156089,40.39874214,,572.89
324,3,target,902.2,383.5,down,down_L4,31.29,71.26,,,117.4175791,40.39884916,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,106.7,31.29,71.26,117.415624,40.39874213,,572.874
